Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
provincial_sadness,ramona_boldiszar,2,identity & otherness,identity & otherness,mundane & daily life,love & intimacy,100
i_am_here,ioana_nicolaie,7,digital realities & posthumanism,interconnected structures,digital realities & posthumanism,philosophical & ontological inquiry,100
retragerea,elena_vladareanu,3,love & intimacy,digital realities & posthumanism,love & intimacy,interconnected structures,100
minunata lume disney,elena_vladareanu,7,digital realities & posthumanism,interconnected structures,digital realities & posthumanism,love & intimacy,100
ce se ascunde sub piele,elena_vladareanu,1,mundane & daily life,self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,0
de la tine,elena_vladareanu,6,eco-consciousness,love & intimacy,interconnected structures,identity & otherness,0
bani. muncă. timp liber [fragmente],elena_vladareanu,4,self-referentiality (ars poetica),digital realities & posthumanism,self-referentiality (ars poetica),interconnected structures,100
party,elena_vladareanu,5,interconnected structures,eco-consciousness,digital realities & posthumanism,identity & otherness,0
ciupercile bune:ciupercile otrăvitoare,dumitru_crudu,7,digital realities & posthumanism,eco-consciousness,philosophical & ontological inquiry,mundane & daily life,0
amestecam vodcă nemțească,dumitru_crudu,1,mundane & daily life,love & intimacy,mundane & daily life,philosophical & ontological inquiry,100
într-un sat de pe graniță,dumitru_crudu,1,mundane & daily life,love & intimacy,mundane & daily life,digital realities & posthumanism,100
mătușa mea eugenia,dumitru_crudu,0,philosophical & ontological inquiry,love & intimacy,mundane & daily life,digital realities & posthumanism,0
azi,dumitru_crudu,0,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,interconnected structures,0
camera vecină,dumitru_crudu,1,mundane & daily life,mundane & daily life,digital realities & posthumanism,love & intimacy,100
vaci ale domnului,dumitru_crudu,1,mundane & daily life,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,0
***,vlad_dragoi,7,digital realities & posthumanism,mundane & daily life,philosophical & ontological inquiry,interconnected structures,0
cu ce citim poezia...,nora_iuga,1,mundane & daily life,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,0
nu mai știu,nora_iuga,5,interconnected structures,love & intimacy,identity & otherness,mundane & daily life,0
cal aș fi vrut să fiu,nora_iuga,0,philosophical & ontological inquiry,interconnected structures,identity & otherness,philosophical & ontological inquiry,100
căldură și structură,anastasia_gavrilovici,1,mundane & daily life,love & intimacy,identity & otherness,mundane & daily life,100
anita alvarez,anastasia_gavrilovici,5,interconnected structures,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
de dimineaţă în cap începe măcelul,anastasia_gavrilovici,5,interconnected structures,love & intimacy,identity & otherness,interconnected structures,100
aici,anastasia_gavrilovici,0,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,100
"la sfârșitul zilei, inima mea",anastasia_gavrilovici,1,mundane & daily life,identity & otherness,digital realities & posthumanism,eco-consciousness,0
tristețea cefalopodelor,anastasia_gavrilovici,0,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
avionașe de hârtie,anastasia_gavrilovici,2,identity & otherness,love & intimacy,identity & otherness,mundane & daily life,100
se poate trăi și așa,anastasia_gavrilovici,1,mundane & daily life,mundane & daily life,love & intimacy,digital realities & posthumanism,100
mirosul proaspăt de vopsea,anastasia_gavrilovici,1,mundane & daily life,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,0
poligon,anastasia_gavrilovici,3,love & intimacy,eco-consciousness,identity & otherness,love & intimacy,100
de dimineață ca-ntr-un tablou de dalí,anastasia_gavrilovici,1,mundane & daily life,mundane & daily life,love & intimacy,interconnected structures,100
christmas party 2013,anastasia_gavrilovici,2,identity & otherness,identity & otherness,mundane & daily life,digital realities & posthumanism,100
cât de bine,anastasia_gavrilovici,5,interconnected structures,interconnected structures,mundane & daily life,philosophical & ontological inquiry,100
ne-am ridicat de la masă puțin amețiți,anastasia_gavrilovici,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
e doar tristeţe,anastasia_gavrilovici,3,love & intimacy,identity & otherness,love & intimacy,mundane & daily life,100
ce mai fac,anastasia_gavrilovici,0,philosophical & ontological inquiry,identity & otherness,mundane & daily life,interconnected structures,0
lucruri simple,anastasia_gavrilovici,1,mundane & daily life,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
ultima frontieră,anastasia_gavrilovici,0,philosophical & ontological inquiry,love & intimacy,mundane & daily life,eco-consciousness,0
ultima matrioșkă,anastasia_gavrilovici,1,mundane & daily life,identity & otherness,mundane & daily life,digital realities & posthumanism,100
viețile altora,anastasia_gavrilovici,5,interconnected structures,interconnected structures,identity & otherness,love & intimacy,100
"dansează, soledad",claudiu_komartin,5,interconnected structures,love & intimacy,self-referentiality (ars poetica),philosophical & ontological inquiry,0
poem de dragoste pornind de la un vers de ilhan berk,claudiu_komartin,1,mundane & daily life,love & intimacy,mundane & daily life,identity & otherness,100
"aiko monzaemon, curtezană",claudiu_komartin,0,philosophical & ontological inquiry,philosophical & ontological inquiry,love & intimacy,identity & otherness,100
râsetele din camera cealaltă,claudiu_komartin,7,digital realities & posthumanism,identity & otherness,mundane & daily life,interconnected structures,0
pregătiri pentru centenarul revoluției din octombrie,claudiu_komartin,2,identity & otherness,digital realities & posthumanism,interconnected structures,philosophical & ontological inquiry,0
vreau să te cred când spui,claudiu_komartin,7,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
oscioare,claudiu_komartin,0,philosophical & ontological inquiry,digital realities & posthumanism,self-referentiality (ars poetica),philosophical & ontological inquiry,100
patinator,claudiu_komartin,7,digital realities & posthumanism,digital realities & posthumanism,philosophical & ontological inquiry,love & intimacy,100
încercăm să convingem nebunia,claudiu_komartin,5,interconnected structures,philosophical & ontological inquiry,interconnected structures,identity & otherness,100
poem de dragoste,claudiu_komartin,1,mundane & daily life,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
aș fi vrut să o privesc în ochi,claudiu_komartin,3,love & intimacy,love & intimacy,philosophical & ontological inquiry,interconnected structures,100
alegorie,claudiu_komartin,6,eco-consciousness,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,0
zi şi noapte. o confesiune,claudiu_komartin,4,self-referentiality (ars poetica),identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
lumea își încâlcește meridianele,claudiu_komartin,1,mundane & daily life,eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,0
scrisoare neagră,claudiu_komartin,0,philosophical & ontological inquiry,love & intimacy,self-referentiality (ars poetica),philosophical & ontological inquiry,100
strofe,claudiu_komartin,4,self-referentiality (ars poetica),digital realities & posthumanism,love & intimacy,mundane & daily life,0
locus amoenus,claudiu_komartin,5,interconnected structures,philosophical & ontological inquiry,identity & otherness,interconnected structures,100
irina,claudiu_komartin,5,interconnected structures,identity & otherness,love & intimacy,mundane & daily life,0
nu am să te mai hrănesc,claudiu_komartin,1,mundane & daily life,digital realities & posthumanism,mundane & daily life,interconnected structures,100
autoportret în ciorbă de potroace,claudiu_komartin,3,love & intimacy,identity & otherness,self-referentiality (ars poetica),mundane & daily life,0
dar noi suntem păpuși în doliu,claudiu_komartin,2,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,love & intimacy,0
inoculare – hore pentru zădărnicirea combaterii,claudiu_komartin,7,digital realities & posthumanism,digital realities & posthumanism,eco-consciousness,philosophical & ontological inquiry,100
ar trebui poate să fim mai blânzi,claudiu_komartin,1,mundane & daily life,eco-consciousness,digital realities & posthumanism,interconnected structures,0
artaud la norogachic,claudiu_komartin,1,mundane & daily life,philosophical & ontological inquiry,self-referentiality (ars poetica),interconnected structures,0
"ali mustafa, negustor de colivii",claudiu_komartin,2,identity & otherness,philosophical & ontological inquiry,self-referentiality (ars poetica),interconnected structures,0
după vizita mamei,claudiu_komartin,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,mundane & daily life,0
as_far_as_i_know_the_humans,marin_malaicu_hondrari,1,mundane & daily life,philosophical & ontological inquiry,identity & otherness,interconnected structures,0
the rainbowconnection,simona_popescu,0,philosophical & ontological inquiry,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,100
1,adela_greceanu,3,love & intimacy,mundane & daily life,identity & otherness,interconnected structures,0
gîscă,adela_greceanu,2,identity & otherness,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,0
adila,adela_greceanu,2,identity & otherness,self-referentiality (ars poetica),interconnected structures,identity & otherness,100
provinciala,adela_greceanu,0,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),digital realities & posthumanism,0
adila în vacanță,adela_greceanu,4,self-referentiality (ars poetica),mundane & daily life,philosophical & ontological inquiry,identity & otherness,0
tartină. cvasinecunoscută. a gestiona o relaţie,adela_greceanu,5,interconnected structures,self-referentiality (ars poetica),identity & otherness,love & intimacy,0
udo,adela_greceanu,7,digital realities & posthumanism,identity & otherness,love & intimacy,mundane & daily life,0
liniuțe și bastonașe,adela_greceanu,2,identity & otherness,identity & otherness,mundane & daily life,interconnected structures,100
"titlul volumului meu, care ma preocupa atat de mult",adela_greceanu,0,philosophical & ontological inquiry,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,100
***,octavian_soviany,3,love & intimacy,love & intimacy,self-referentiality (ars poetica),identity & otherness,100
grădina de cafea,dan_coman,2,identity & otherness,identity & otherness,interconnected structures,philosophical & ontological inquiry,100
numai ea,dan_coman,2,identity & otherness,philosophical & ontological inquiry,mundane & daily life,love & intimacy,0
o fată din moldova (o săsoaică),dan_coman,6,eco-consciousness,love & intimacy,identity & otherness,interconnected structures,0
27,dan_coman,5,interconnected structures,love & intimacy,identity & otherness,interconnected structures,100
poem,dan_coman,4,self-referentiality (ars poetica),identity & otherness,interconnected structures,philosophical & ontological inquiry,0
iarba din hol,dan_coman,4,self-referentiality (ars poetica),love & intimacy,mundane & daily life,identity & otherness,0
plimbarea,dan_coman,4,self-referentiality (ars poetica),love & intimacy,philosophical & ontological inquiry,identity & otherness,0
profesoara de literatură din noul val,dan_coman,3,love & intimacy,love & intimacy,identity & otherness,philosophical & ontological inquiry,100
teodora,dan_coman,0,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
un om bun,dan_coman,0,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
poem de dragoste,dan_coman,5,interconnected structures,identity & otherness,love & intimacy,digital realities & posthumanism,0
vizită- necunoscuta,dan_coman,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
un poem trimis lui radu vancu pe mess,dan_coman,1,mundane & daily life,identity & otherness,mundane & daily life,philosophical & ontological inquiry,100
poem de dragoste (v2),dan_coman,4,self-referentiality (ars poetica),love & intimacy,mundane & daily life,identity & otherness,0
eu sînt cel ce nu sînt,dan_coman,2,identity & otherness,love & intimacy,mundane & daily life,identity & otherness,100
narcisa,dan_coman,4,self-referentiality (ars poetica),mundane & daily life,identity & otherness,love & intimacy,0
pisica larisei,dan_coman,0,philosophical & ontological inquiry,mundane & daily life,identity & otherness,love & intimacy,0
degeţica,dan_coman,7,digital realities & posthumanism,love & intimacy,mundane & daily life,philosophical & ontological inquiry,0
vizită- magdalena,dan_coman,1,mundane & daily life,identity & otherness,philosophical & ontological inquiry,love & intimacy,0
începutul,dan_coman,1,mundane & daily life,identity & otherness,philosophical & ontological inquiry,mundane & daily life,100
mesaje,dan_coman,2,identity & otherness,love & intimacy,mundane & daily life,philosophical & ontological inquiry,0
octombrie,dan_coman,6,eco-consciousness,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
irezistibil,dan_coman,6,eco-consciousness,identity & otherness,philosophical & ontological inquiry,mundane & daily life,0
amintire de pe strada grigore bălan,dan_coman,1,mundane & daily life,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
poem de dimineață,dan_coman,0,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
poemul de noapte,dan_coman,1,mundane & daily life,love & intimacy,identity & otherness,interconnected structures,0
alesul,dan_coman,0,philosophical & ontological inquiry,identity & otherness,mundane & daily life,philosophical & ontological inquiry,100
aniversarea,dan_coman,7,digital realities & posthumanism,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
în vremea nopţii,dan_coman,1,mundane & daily life,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
plăcerea,dan_coman,7,digital realities & posthumanism,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
strigătul,dan_coman,5,interconnected structures,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,0
"dragoste, îngenunchere",bogdan_o_popescu,7,digital realities & posthumanism,identity & otherness,mundane & daily life,love & intimacy,0
aer cald,bogdan_o_popescu,5,interconnected structures,identity & otherness,philosophical & ontological inquiry,love & intimacy,0
"înălţimi, adieri de tine",bogdan_o_popescu,5,interconnected structures,mundane & daily life,philosophical & ontological inquiry,love & intimacy,0
vignette,bogdan_o_popescu,5,interconnected structures,identity & otherness,philosophical & ontological inquiry,love & intimacy,0
poate ca oamenii dau tot ce au ei mai bun atunci când sunt pe ultima suta de metri,karina_sabadean,2,identity & otherness,mundane & daily life,identity & otherness,interconnected structures,100
în gura peștelui în care trăiesc,karina_sabadean,3,love & intimacy,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
grup social respectabil,karina_sabadean,1,mundane & daily life,identity & otherness,interconnected structures,mundane & daily life,100
noi nu suntem ultimele două fire dintr,karina_sabadean,1,mundane & daily life,eco-consciousness,love & intimacy,philosophical & ontological inquiry,0
cine n-are nume,karina_sabadean,3,love & intimacy,philosophical & ontological inquiry,identity & otherness,interconnected structures,0
am ieșit în grabă din librăria de la universității,karina_sabadean,4,self-referentiality (ars poetica),eco-consciousness,mundane & daily life,interconnected structures,0
cu tine e altceva,svetlana_carstean,1,mundane & daily life,identity & otherness,mundane & daily life,philosophical & ontological inquiry,100
no_title,svetlana_carstean,3,love & intimacy,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
cîntec de trecere 3 sau carte poștală cu pui de taur. netrimisă de saintes-maries-de-la-mer,svetlana_carstean,0,philosophical & ontological inquiry,mundane & daily life,interconnected structures,eco-consciousness,0
in_a_world_made_of_stone,olga_stefan,1,mundane & daily life,identity & otherness,philosophical & ontological inquiry,mundane & daily life,100
beautiful_people_ugly_people,stefania_mihalache,1,mundane & daily life,identity & otherness,love & intimacy,digital realities & posthumanism,0
manufacturing_fault,iv_cel_naiv,2,identity & otherness,self-referentiality (ars poetica),love & intimacy,identity & otherness,100
guilt,iv_cel_naiv,3,love & intimacy,love & intimacy,eco-consciousness,identity & otherness,100
for_reasons_of_survival,radu_vancu,2,identity & otherness,philosophical & ontological inquiry,mundane & daily life,identity & otherness,100
canto xiii,radu_vancu,0,philosophical & ontological inquiry,mundane & daily life,philosophical & ontological inquiry,identity & marginalization,100
the_most_stupid_man,radu_vancu,1,mundane & daily life,mundane & daily life,philosophical & ontological inquiry,love & intimacy,100
prospect i,matei_somesan,0,philosophical & ontological inquiry,self-referentiality (ars poetica),digital realities & posthumanism,philosophical & ontological inquiry,100
harbour chart,matei_somesan,1,mundane & daily life,eco-consciousness,philosophical & ontological inquiry,mundane & daily life,100
part ii,matei_somesan,0,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,philosophical & ontological inquiry,100
untitled-last opened 21.06.2024,matei_somesan,1,mundane & daily life,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
last week,matei_somesan,0,philosophical & ontological inquiry,mundane & daily life,eco-consciousness,philosophical & ontological inquiry,100
v2.2-2.3,matei_somesan,1,mundane & daily life,philosophical & ontological inquiry,identity & otherness,digital realities & posthumanism,0
time_for_a_cigarette,ligia_parvulescu,1,mundane & daily life,mundane & daily life,love & intimacy,self-referentiality (ars poetica),100
cintece excesive,dan_sociu,5,interconnected structures,philosophical & ontological inquiry,mundane & daily life,identity & otherness,0
toată iarna am aşteptat durerea mea anuală de dinţi,dan_sociu,1,mundane & daily life,mundane & daily life,digital realities & posthumanism,love & intimacy,100
11,dan_sociu,6,eco-consciousness,identity & otherness,mundane & daily life,interconnected structures,0
&2,dan_sociu,5,interconnected structures,identity & otherness,mundane & daily life,digital realities & posthumanism,0
1,dan_sociu,7,digital realities & posthumanism,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
beau pentru morţi,dan_sociu,7,digital realities & posthumanism,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
capul în mîini,dan_sociu,2,identity & otherness,philosophical & ontological inquiry,identity & otherness,mundane & daily life,100
salamandră,dan_sociu,7,digital realities & posthumanism,mundane & daily life,eco-consciousness,self-referentiality (ars poetica),0
cîntec excesiv ii,dan_sociu,0,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,philosophical & ontological inquiry,100
n-am mai văzut un copil așa de vesel,dan_sociu,5,interconnected structures,identity & otherness,philosophical & ontological inquiry,interconnected structures,100
&16,dan_sociu,0,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,mundane & daily life,100
cîntec excesiv iii,dan_sociu,6,eco-consciousness,identity & otherness,interconnected structures,self-referentiality (ars poetica),0
&3,dan_sociu,0,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,interconnected structures,0
10,dan_sociu,4,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,interconnected structures,0
vodcă sau vin,dan_sociu,0,philosophical & ontological inquiry,identity & otherness,digital realities & posthumanism,self-referentiality (ars poetica),0
ozone friendly,dan_sociu,6,eco-consciousness,eco-consciousness,digital realities & posthumanism,identity & otherness,100
cîntec excesiv v,dan_sociu,1,mundane & daily life,self-referentiality (ars poetica),identity & otherness,love & intimacy,0
&11,dan_sociu,3,love & intimacy,love & intimacy,identity & otherness,interconnected structures,100
&8,dan_sociu,4,self-referentiality (ars poetica),love & intimacy,identity & otherness,interconnected structures,0
pavor nocturn,dan_sociu,0,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,identity & otherness,0
fata pe role,dan_sociu,7,digital realities & posthumanism,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
fratele păduche,dan_sociu,1,mundane & daily life,identity & otherness,interconnected structures,philosophical & ontological inquiry,0
&4,dan_sociu,3,love & intimacy,love & intimacy,identity & otherness,self-referentiality (ars poetica),100
7,dan_sociu,7,digital realities & posthumanism,love & intimacy,identity & otherness,interconnected structures,0
imagista de la urgenţă,dan_sociu,3,love & intimacy,identity & otherness,interconnected structures,love & intimacy,100
6,dan_sociu,0,philosophical & ontological inquiry,identity & otherness,digital realities & posthumanism,love & intimacy,0
&5,dan_sociu,4,self-referentiality (ars poetica),philosophical & ontological inquiry,mundane & daily life,identity & otherness,0
shanghai truelove ltd.,dan_sociu,2,identity & otherness,interconnected structures,philosophical & ontological inquiry,mundane & daily life,0
16,dan_sociu,6,eco-consciousness,philosophical & ontological inquiry,interconnected structures,eco-consciousness,100
cîntec excesiv iv,dan_sociu,0,philosophical & ontological inquiry,mundane & daily life,digital realities & posthumanism,love & intimacy,0
cîntec excesiv i,dan_sociu,1,mundane & daily life,love & intimacy,identity & otherness,interconnected structures,0
&9,dan_sociu,6,eco-consciousness,love & intimacy,mundane & daily life,identity & otherness,0
&10,dan_sociu,1,mundane & daily life,love & intimacy,mundane & daily life,identity & otherness,100
johnnie walker,dan_sociu,0,philosophical & ontological inquiry,mundane & daily life,identity & otherness,philosophical & ontological inquiry,100
9,dan_sociu,4,self-referentiality (ars poetica),love & intimacy,identity & otherness,mundane & daily life,0
&13,dan_sociu,1,mundane & daily life,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
tehnica anti-climaxului,dan_sociu,0,philosophical & ontological inquiry,love & intimacy,identity & otherness,philosophical & ontological inquiry,100
5,dan_sociu,7,digital realities & posthumanism,love & intimacy,self-referentiality (ars poetica),identity & otherness,0
&6,dan_sociu,6,eco-consciousness,identity & otherness,philosophical & ontological inquiry,love & intimacy,0
15,dan_sociu,7,digital realities & posthumanism,identity & otherness,eco-consciousness,mundane & daily life,0
traista mihaelei,dan_sociu,1,mundane & daily life,identity & otherness,love & intimacy,mundane & daily life,100
14,dan_sociu,4,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,interconnected structures,0
&7,dan_sociu,4,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,love & intimacy,0
4,dan_sociu,7,digital realities & posthumanism,love & intimacy,identity & otherness,mundane & daily life,0
&12,dan_sociu,2,identity & otherness,mundane & daily life,love & intimacy,identity & otherness,100
ești atât de frumoasă după ce am mîncat,dan_sociu,2,identity & otherness,love & intimacy,identity & otherness,mundane & daily life,100
8,dan_sociu,7,digital realities & posthumanism,mundane & daily life,interconnected structures,self-referentiality (ars poetica),0
ce trist și frumos e cînd omul se,dan_sociu,4,self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,mundane & daily life,0
3,dan_sociu,0,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,interconnected structures,100
rapsodiaromână,dan_sociu,4,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,interconnected structures,0
13,dan_sociu,0,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,eco-consciousness,100
&,dan_sociu,7,digital realities & posthumanism,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
dragostea ta,dan_sociu,1,mundane & daily life,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
nu. o poveste de succes,dan_sociu,7,digital realities & posthumanism,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
&15,dan_sociu,4,self-referentiality (ars poetica),love & intimacy,identity & otherness,philosophical & ontological inquiry,0
&14,dan_sociu,7,digital realities & posthumanism,identity & otherness,philosophical & ontological inquiry,love & intimacy,0
conserve bine închise  borcane bine legate  bani pentru încă o săptămînă,dan_sociu,0,philosophical & ontological inquiry,philosophical & ontological inquiry,identity & otherness,love & intimacy,100
cu gura uscata de ură,dan_sociu,5,interconnected structures,philosophical & ontological inquiry,identity & otherness,love & intimacy,0
12,dan_sociu,1,mundane & daily life,philosophical & ontological inquiry,identity & otherness,love & intimacy,0
2,dan_sociu,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,interconnected structures,0
11,ana_dontu,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
